id,start_date,name,distance,moving_time,type,average_heartrate,max_heartrate,average_speed,max_speed,total_elevation_gain,start_latlng,end_latlng,weather_icon,weather_summary,weather_temperature
728054505,2016-09-28T16:36:47Z,"I was told there would be rain",12.3,4850,Ride,,,9.2,34.9,139,"[37.26,-79.95]","[37.26,-79.95]",13,14,15
731222935,2016-10-01T18:48:37Z,"Creature Loop, washed the hell out",15.8,6408,Ride,,,8.9,25.3,116.3,"[37.38,-79.95]","[37.38,-79.95]",13,14,15
732626029,2016-10-02T15:05:43Z,"Crasher from Carvins cove ",15.6,6187,Ride,,,9.1,31.5,114.3,"[37.39,-79.95]","[37.39,-79.95]",13,14,15
735638974,2016-10-05T19:45:12Z,"Cleaner from Carvins Cove ",11.9,6408,Ride,,,6.7,22.8,149.2,"[37.38,-80.01]","[37.38,-80.01]",13,14,15
736693801,2016-10-06T21:12:12Z,"Dody Ridge ",8.9,6172,Ride,,,5.2,20.6,137.4,"[37.41,-79.75]","[37.41,-79.75]",13,14,15
739863682,2016-10-09T18:23:23Z,"Rock N Rattle",16.9,7258,Ride,,,8.4,23.9,133.5,"[37.38,-80.01]","[37.38,-80.01]",13,14,15
740893239,2016-10-10T21:20:49Z,"Dads broke down ",8.5,4830,Ride,,,6.3,21.3,97.3,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
741867624,2016-10-11T20:58:07Z,"9.9 On a Niner ",10.1,4126,Ride,,,8.8,32.2,111.4,"[37.26,-79.95]","[37.26,-79.94]",13,14,15
743839051,2016-10-13T20:26:08Z,"Cab Calloway ",12.5,6301,Ride,,,7.1,25.3,161.4,"[37.38,-80.01]","[37.38,-80.01]",13,14,15
744675964,2016-10-14T20:51:34Z,"GO Fest",7.5,4058,Ride,,,6.7,28,77.4,"[37.26,-79.94]","[37.25,-79.94]",13,14,15
745611746,2016-10-15T16:08:11Z,"Trek Remedy 9.8 ",7.3,3329,Ride,,,7.9,23.3,93.1,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
745695132,2016-10-15T17:28:06Z,"Trek Fuel EX 9.8",10.4,4224,Ride,,,8.8,33.1,118.3,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
748059514,2016-10-17T21:26:46Z,"Monday Night Ride",8,4649,Ride,,,6.2,28.6,100.8,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
749034959,2016-10-18T21:45:40Z,"Forgot my light ",6.8,3280,Ride,,,7.4,29.8,119,"[37.26,-79.93]","[37.25,-79.92]",13,14,15
